Code_18,CLC_text,pavement,vegetation,water
111, Continuous urban fabric,1,,
112, Discontinuous urban fabric,1,,
121, Industrial or commercial units,3,,
122, Road and rail networks and associated land,1,,
123, Port area,3,,
124, Airports,3,,
132, Dump sites,,1,
133, Construction sites,,1,
142, Sport and leisure facilities,,3,
131, Mineral extraction sites,,1,
141, Green urban area,,3,
211, Non-irrigated arable land,,2,
212,Permanently irrigated land,,11,
213,Rice fields,,11,
221, Vineyards,,2,
222, Fruit tree and berry plantations ,,2,
223,Olive groves,,2,
231," Pasture, meadows and other permanent grasslands under agricultural use",,8,
241,Annual crops with permanent crops,,2,
242, Complex cultivation patterns,,2,
243," Land principally occupied by agriculture, with significant areas of natural vegetation",,2,
244,Agro-forestry areas,,18,
311, Broad-leaved forest,,7,
312, Coniferous forest,,4,
313, Mixed forest,,17,
321, Natural grassland,,8,
322, Moors and heathland,,14,
324, Transitional woodland/shrub,,16,
331," Beaches, dunes and sand plains",,1,
332, Bare rock,,1,
333, Sparsely vegetated areas,,1,
334, Burnt areas,,1,
335, Glaciers and perpetual snow,,13,
411, Inland marshes,,14,
412, Peatbogs,,14,
421, Coastal salt marshes,,14,
422,Salines,,1,
423, Intertidal flats,,14,
511,Water courses,,,2
512,Water bodies,,,1
521,Coastal regions,,,3
522,Estuaries,,,3
523,Sea and ocean,,,3
