funktion,bezeichnung,pavement,vegetation,water
2100,Gebaeude und Freiflaeche Mischnutzung,3,,
2110,Wohnen mit Oeffentlich,3,,
2120,Wohnen mit Handel und Dienstleistungen,3,,
2130,Wohnen mit Gewerbe und Industrie,3,,
2140,Oeffentlich mit Wohnen,3,,
2150,Handel und Dienstleistungen mit Wohnen,3,,
2160,Gewerbe und Industrie mit Wohnen,3,,
2700,Gebaeude und Freiflaeche Land Forstwirtschaft,3,,
2710,Wohnen,3,,
2730,Wohnen und Betrieb,3,,
3000,Fischereiwirtschaftsflaeche,,,
6800,Landwirtschaftliche Betriebsflaeche,3,,
7600,Forstwirtschaftliche Betriebsflaeche,,,
1200,Parken,1,,
